project_name,total,lost_coverage_lines,improve_coverage_lines
aismessages,1.0,1.0,0.0
elastic-job-lite,5678.0,5678.0,0.0
pippo,46.63636363636363,46.63636363636363,0.0
jimfs,6.0,9.0,-3.0
unix4j,1669.25,1682.1666666666667,-12.916666666666666
dropwizard,834.0769230769231,837.4615384615385,-3.3846153846153846
marine-api,0.0,0.0,0.0
redpipe,86.0,86.0,0.0
search-highlighter,1584.5,1586.5,-2.0
jfreechart,-8.75,0.25,-9.0
junit-quickcheck,-361.375,506.0,-867.375
wikidata-toolkit,4537.0,4537.272727272727,-0.2727272727272727
média,1172.6948572261072,1247.5239413364413,-74.82908411033411
sum,14072.338286713286,14970.287296037295,-897.9490093240094
