project_name,total,lost_coverage_lines,improve_coverage_lines
commons-io,0.0,0.0,0.0
unix4j,422.7142857142857,425.0,-2.2857142857142856
jfreechart,-7.0,0.0,-7.0
search-highlighter,555.6666666666666,556.3333333333334,-0.6666666666666666
junit-quickcheck,-1265.25,34.0,-1299.25
aismessages,5.666666666666667,5.666666666666667,0.0
rxjava2-extras,26.0,71.0,-45.0
elastic-job-lite,0.0,0.0,0.0
wikidata-toolkit,16.5,16.5,0.0
marine-api,0.0,0.0,0.0
redpipe,0.0,0.0,0.0
média,-22.33658008658009,100.77272727272727,-123.10930735930737
sum,-245.70238095238096,1108.5,-1354.202380952381
