project_name,total,lost_coverage_lines,improve_coverage_lines
unix4j,265.57142857142856,688.4285714285714,-422.8571428571428
jfreechart,9.0,9.0,0.0
search-highlighter,338.0,1172.0,-834.0
pippo,66.0,74.0,-8.0
junit-quickcheck,238.4,269.0,-30.6
aismessages,-7.333333333333333,0.0,-7.333333333333333
rxjava2-extras,-41.75,10.25,-52.0
elastic-job-lite,5032.25,5032.25,0.0
wikidata-toolkit,1187.125,1189.125,-2.0
marine-api,0.0,0.0,0.0
redpipe,51.66666666666666,51.66666666666666,0.0
média,648.9936147186147,772.3382034632035,-123.34458874458873
sum,7138.929761904762,8495.720238095239,-1356.790476190476
