project_name,total,lost_coverage_lines,improve_coverage_lines
aismessages,-46.75,0.0,-46.75
elastic-job-lite,0.0,0.0,0.0
pippo,27.4,27.4,0.0
jimfs,-8.0,10.0,-18.0
unix4j,-422.1333333333333,1.8666666666666667,-424.0
dropwizard,-4.384615384615385,0.0,-4.384615384615385
marine-api,-16.166666666666668,0.0,-16.166666666666668
redpipe,0.0,0.0,0.0
search-highlighter,-834.0,0.0,-834.0
jfreechart,7.0,7.0,0.0
junit-quickcheck,274.0,293.42857142857144,-19.428571428571427
wikidata-toolkit,-10.77777777777778,0.3333333333333333,-11.11111111111111
média,-86.15103276353277,28.335714285714285,-114.48674704924703
sum,-1033.8123931623932,340.0285714285714,-1373.8409645909644
