project_name,total,lost_coverage_lines,improve_coverage_lines
aismessages,46.75,46.75,0.0
elastic-job-lite,5678.0,5678.0,0.0
pippo,42.4,42.4,0.0
jimfs,6.0,9.0,-3.0
unix4j,875.1333333333333,899.4,-24.266666666666666
dropwizard,1011.6153846153846,1015.0,-3.3846153846153846
marine-api,16.166666666666668,16.166666666666668,0.0
redpipe,33.333333333333336,33.333333333333336,0.0
search-highlighter,2002.0,2003.0,-1.0
jfreechart,-9.0,0.0,-9.0
junit-quickcheck,-77.14285714285714,216.0,-293.1428571428572
wikidata-toolkit,3673.555555555556,3673.8888888888887,-0.3333333333333333
média,1108.2342846967847,1136.0782407407407,-27.84395604395605
sum,13298.811416361417,13632.938888888888,-334.1274725274726
