project_name,total,lost_coverage_lines,improve_coverage_lines
commons-io,0.0,0.0,0.0
unix4j,440.1428571428572,441.0,-0.8571428571428571
jfreechart,-4.4,2.6,-7.0
pippo,-23.571428571428573,2.571428571428572,-26.142857142857142
junit-quickcheck,22.666666666666668,22.666666666666668,0.0
aismessages,21.0,21.0,0.0
rxjava2-extras,23.0,69.0,-46.0
elastic-job-lite,0.0,0.0,0.0
wikidata-toolkit,0.125,0.125,0.0
marine-api,27.5,27.5,0.0
redpipe,0.0,0.0,0.0
média,46.04209956709958,53.314826839826836,-7.2727272727272725
sum,506.4630952380953,586.4630952380952,-80.0
