project_name,total,lost_coverage_lines,improve_coverage_lines
commons-io,2.0,2.0,0.0
unix4j,468.57142857142856,1016.2857142857144,-547.7142857142857
jfreechart,9.0,9.0,0.0
search-highlighter,338.0,1172.0,-834.0
pippo,15.625,39.625,-24.0
junit-quickcheck,489.6666666666667,533.3333333333334,-43.66666666666666
rxjava2-extras,-56.5,10.5,-67.0
elastic-job-lite,4266.0,4266.0,0.0
wikidata-toolkit,3454.75,3454.75,0.0
marine-api,0.0,0.0,0.0
redpipe,51.66666666666666,51.66666666666666,0.0
média,821.707251082251,959.5600649350649,-137.85281385281385
sum,9038.779761904761,10555.160714285714,-1516.3809523809525
