project_name,total,lost_coverage_lines,improve_coverage_lines
aismessages,0.0,0.0,0.0
elastic-job-lite,5678.0,5678.0,0.0
pippo,27.90909090909091,27.90909090909091,0.0
jimfs,6.0,9.0,-3.0
unix4j,2372.6666666666665,2377.833333333333,-5.166666666666667
dropwizard,1772.2307692307693,1775.0,-2.769230769230769
marine-api,0.0,0.0,0.0
redpipe,77.5,77.5,0.0
search-highlighter,2002.0,2003.0,-1.0
jfreechart,6.0,15.5,-9.5
junit-quickcheck,-2.25,39.25,-41.5
wikidata-toolkit,6630.0,6630.0,0.0
média,1547.5047105672104,1552.7493686868686,-5.24465811965812
sum,18570.056526806526,18632.992424242424,-62.93589743589744
