file_name,sum_statements,sum_missing
GeneralFixture_consolidated_results,-501,9268
MysteryGuest_consolidated_results,-475,7600
RedundantAssertion_consolidated_results,-509,10500
IgnoredTest_consolidated_results,-472,8495
SleepyTest_consolidated_results,-2,5811
AssertionRoulette_consolidated_results,-511,17330
EmptyTest_consolidated_results,64,48
LazyTest_consolidated_results,-506,13336
ExceptionHandling_consolidated_results,59,14523
SensitiveEquality_consolidated_results,-483,6150
MagicNumberTest_consolidated_results,3,18126
EagerTest_consolidated_results,-313,15828
ConstructorInitialization_consolidated_results,0,5688
ResourceOptimism_consolidated_results,0,7125
UnknownTest_consolidated_results,-1243,11522
RedundantPrint_consolidated_results,3,0
DuplicateAssertion_consolidated_results,-416,8539
ConditionalTestLogic_consolidated_results,-503,16002
