project_name,total,lost_coverage_lines,improve_coverage_lines
cloud-init,-15221.714285714286,0.0,-15221.714285714286
jedi,-896.6,38.2,-934.8
vhs-teletext,-449.0,0.0,-449.0
spotipy,-10.285714285714286,0.8571428571428571,-11.142857142857142
robotframework,0.0,0.0,0.0
polling,0.0,0.0,0.0
acitoolkit,-114.25,0.0,-114.25
stig,0.0,0.0,0.0
pybuilder,-60.0,0.0,-60.0
aws-cli,-7859.777777777777,0.0,-7859.777777777777
grimoirelab,0.0,0.0,0.0
softlayer,-3169.5454545454545,0.0,-3169.5454545454545
RxPY,-803.75,6.666666666666667,-810.4166666666666
média,-2198.840248640249,3.517216117216117,-2202.357464757465
sum,-28584.923232323235,45.72380952380952,-28630.647041847045
