project_name,total,lost_coverage_lines,improve_coverage_lines
robotframework,0.0,0.0,0.0
pybuilder,0.0,0.0,0.0
softlayer,-0.8571428571428571,0.0,-0.8571428571428571
cloud-init,-1456.1666666666667,2.25,-1458.4166666666667
vhs-teletext,-130.28571428571428,0.1428571428571428,-130.42857142857142
acitoolkit,-0.5,0.0,-0.5
polling,0.0,0.0,0.0
jedi,5.5,5.5,0.0
stig,0.0,0.0,0.0
drmaa-python,0.0,0.0,0.0
RxPY,-342.5,8.25,-350.75
grimoirelab,0.0,0.0,0.0
spotipy,-5.0,1.0,-6.0
aws-cli,-631.5,0.0,-631.5
média,-182.95068027210885,1.2244897959183674,-184.1751700680272
sum,-2561.309523809524,17.142857142857142,-2578.4523809523807
