project_name,total,lost_coverage_lines,improve_coverage_lines
aws-cli,7859.777777777777,0.0,7859.777777777777
pybuilder,60.0,0.0,60.0
vhs-teletext,449.0,0.0,449.0
RxPY,803.75,-6.666666666666667,810.4166666666666
cloud-init,15221.714285714286,0.0,15221.714285714286
polling,0.0,0.0,0.0
spotipy,10.285714285714286,-0.8571428571428571,11.142857142857142
acitoolkit,114.25,0.0,114.25
softlayer,3169.5454545454545,0.0,3169.5454545454545
jedi,896.6,-38.2,934.8
grimoirelab,0.0,0.0,0.0
média,2598.6293847566576,-4.156709956709957,2602.786094713367
sum,28584.92323232323,-45.72380952380953,28630.64704184704
