project_name,total,lost_coverage_lines,improve_coverage_lines
cloud-init,-12953.57142857143,0.0,-12953.57142857143
jedi,46.0,46.0,0.0
spotipy,-12.428571428571429,1.2857142857142858,-13.714285714285714
robotframework,0.0,0.0,0.0
polling,0.0,0.0,0.0
acitoolkit,-299.5,0.0,-299.5
stig,0.0,0.0,0.0
pybuilder,-44.125,0.0,-44.125
aws-cli,-7578.714285714285,0.0,-7578.714285714285
grimoirelab,0.0,0.0,0.0
softlayer,-3176.3636363636365,0.0,-3176.3636363636365
RxPY,-808.75,6.666666666666667,-815.4166666666666
média,-2068.9544101731603,4.496031746031746,-2073.450441919192
sum,-24827.452922077922,53.95238095238095,-24881.405303030304
