project_name,total,lost_coverage_lines,improve_coverage_lines
robotframework,0.0,0.0,0.0
pybuilder,0.0,0.0,0.0
softlayer,-1868.142857142857,0.0,-1868.142857142857
cloud-init,-5821.416666666667,2.4166666666666665,-5823.833333333333
vhs-teletext,-132.0,0.0,-132.0
acitoolkit,-0.6363636363636364,0.0,-0.6363636363636364
polling,0.0,0.0,0.0
jedi,2.0,2.0,0.0
stig,0.0,0.0,0.0
drmaa-python,0.0,0.0,0.0
RxPY,-870.875,4.125,-875.0
spotipy,-5.0,1.0,-6.0
grimoirelab-perceval,0.0,0.0,0.0
aws-cli,-3794.285714285714,0.0,-3794.285714285714
média,-892.1683286951144,0.681547619047619,-892.8498763141621
sum,-12490.3566017316,9.541666666666666,-12499.898268398269
