project_name,total,lost_coverage_lines,improve_coverage_lines
aws-cli,7578.714285714285,0.0,7578.714285714285
pybuilder,44.125,0.0,44.125
RxPY,808.75,-6.666666666666667,815.4166666666666
cloud-init,12953.57142857143,0.0,12953.57142857143
polling,0.0,0.0,0.0
spotipy,12.428571428571429,-1.2857142857142858,13.714285714285714
acitoolkit,299.5,0.0,299.5
softlayer,3176.3636363636365,0.0,3176.3636363636365
jedi,-46.0,-46.0,0.0
grimoirelab,0.0,0.0,0.0
média,2482.7452922077923,-5.395238095238095,2488.1405303030306
sum,24827.452922077922,-53.95238095238095,24881.405303030304
