project_name,total,lost_coverage_lines,improve_coverage_lines
aws-cli,-5694.642857142857,0.0714285714285714,-5694.714285714285
pybuilder,-34.285714285714285,0.0,-34.285714285714285
vhs-teletext,-143.92307692307693,0.3846153846153846,-144.30769230769232
RxPY,-921.3333333333334,5.333333333333333,-926.6666666666666
cloud-init,-11856.857142857143,0.0,-11856.857142857143
polling,-25.0,0.0,-25.0
spotipy,-38.0,0.8571428571428571,-38.85714285714285
robotframework,0.0,0.0,0.0
acitoolkit,-151.28571428571428,0.0,-151.28571428571428
softlayer,-3572.5454545454545,0.0,-3572.5454545454545
stig,0.0,0.0,0.0
jedi,47.75,47.75,0.0
grimoirelab,0.0,0.0,0.0
média,-1722.3171764133303,4.184347703578473,-1726.501524116909
sum,-22390.123293373294,54.396520146520146,-22444.519813519815
