file_name,sum_statements,sum_missing
GeneralFixture_consolidated_results,-902,64354
SuboptimalAssert_consolidated_results,-194,4506
ObscureInLineSetup_consolidated_results,-186,6946
RedundantAssertion_consolidated_results,-228,3286
IgnoredTest_consolidated_results,-936,3284
SleepyTest_consolidated_results,-786,2782
AssertionRoulette_consolidated_results,-152,64360
LackCohesion_consolidated_results,-228,61188
EmptyTest_consolidated_results,0,12
ExceptionHandling_consolidated_results,-920,64966
MagicNumberTest_consolidated_results,-152,64938
ConstructorInitialization_consolidated_results,-768,-90
UnknownTest_consolidated_results,-186,64104
RedundantPrint_consolidated_results,-996,3512
DuplicateAssertion_consolidated_results,-152,64200
TestMaverick_consolidated_results,-936,61408
ConditionalTestLogic_consolidated_results,-152,65084
